time,p,q,v_a,v_b,v_c,i_a,i_b,i_c,p_kw,q_kw
11.052,0.0068,0.0046,0.4888,-1.0649,0.5761,0.012427562243,-0.046052713575,0.033625151332,6.8,4.6
11.053,0.0068,0.0046,0.8079,-1.0063,0.1985,0.028743614182,-0.047285637828,0.018542023645,6.8,4.6
11.054,0.0068,0.0046,1.0095,-0.8015,-0.208,0.040880199165,-0.04164308907,0.000762889905,6.8,4.6
11.055,0.0068,0.0046,1.0644,-0.4801,-0.5843,0.047072635186,-0.029945533039,-0.017127102147,6.8,4.6
11.056,0.0068,0.0046,0.9645,-0.0889,-0.8756,0.046420542467,-0.013893849766,-0.032526692701,6.8,4.6
11.057,0.0068,0.0046,0.7243,0.3153,-1.0396,0.03901875953,0.004177981589,-0.043196741119,6.8,4.6
11.058,0.0068,0.0046,0.3788,0.6736,-1.0524,0.025943551222,0.021642251974,-0.047585803196,6.8,4.6
11.059,0.0068,0.0046,-0.0217,0.9339,-0.9122,0.009096114522,0.035959600396,-0.045055714918,6.8,4.6
11.06,0.0068,0.0046,-0.4191,1.0585,-0.6394,-0.009073863613,0.045048245787,-0.035974382174,6.8,4.6
11.061,0.0068,0.0046,-0.7556,1.0291,-0.2736,-0.025924400796,0.047586684515,-0.021662283719,6.8,4.6
11.062,0.0068,0.0046,-0.9822,0.8501,0.132,-0.039005373241,0.043205839787,-0.004200466546,6.8,4.6
11.063,0.0068,0.0046,-1.0659,0.5475,0.5184,-0.046414771909,0.032542724697,0.013872047212,6.8,4.6
11.064,0.0068,0.0046,-0.9947,0.1653,0.8294,-0.047075260694,0.017147816377,0.029927444317,6.8,4.6
11.065,0.0068,0.0046,-0.7789,-0.2409,1.0198,-0.040890823943,-0.000740391113,0.041631215056,6.8,4.6
11.066,0.0068,0.0046,-0.4498,-0.6122,1.062,-0.028760725119,-0.018520874454,0.047281599573,6.8,4.6
11.067,0.0068,0.0046,-0.0553,-0.8944,0.9497,-0.012448748246,-0.033608280698,0.046057028944,6.8,4.6
11.068,0.0068,0.0046,0.3472,-1.0465,0.6993,0.005673265151,-0.043808848161,0.03813558301,6.8,4.6
11.069,0.0068,0.0046,0.6993,-1.0465,0.3472,0.022970292988,-0.047639387616,0.024669094628,6.8,4.6
11.07,0.0068,0.0046,0.9497,-0.8944,-0.0553,0.036927276438,-0.04454294286,0.007615666421,6.8,4.6
11.071,0.0068,0.0046,1.062,-0.6121,-0.4498,0.045514820362,-0.034969772874,-0.010545047488,6.8,4.6
11.072,0.0068,0.0046,1.0198,-0.2409,-0.7789,0.047484275393,-0.020311879888,-0.027172395505,6.8,4.6
11.073,0.0068,0.0046,0.8294,0.1653,-0.9948,0.042549295249,-0.002700603948,-0.039848691301,6.8,4.6
11.074,0.0068,0.0046,0.5184,0.5476,-1.066,0.031427471031,0.015303284994,-0.046730756025,6.8,4.6
11.075,0.0068,0.0046,0.132,0.8502,-0.9822,0.015735988007,0.031081935996,-0.046817924003,6.8,4.6
11.076,0.0068,0.0046,-0.2736,1.0292,-0.7556,-0.002243522665,0.042341065229,-0.040097542564,6.8,4.6
11.077,0.0068,0.0046,-0.6394,1.0585,-0.4191,-0.019896745586,0.047443555381,-0.027546809795,6.8,4.6
