All calculations,VPHa,VPHb,VPHc
"Time in s","Voltage in p.u.","Voltage in p.u.","Voltage in p.u."
11.0131,-1.0165,0.7848,0.2317
11.0132,-1.0280,0.7566,0.2715
11.0133,-1.0380,0.7273,0.3108
11.0134,-1.0466,0.6969,0.3496
11.0135,-1.0536,0.6656,0.3880
11.0136,-1.0591,0.6332,0.4259
11.0137,-1.0630,0.5999,0.4631
11.0138,-1.0653,0.5657,0.4996
11.0139,-1.0660,0.5306,0.5354
11.0140,-1.0653,0.5011,0.5642
11.0141,-1.0642,0.4827,0.5815
11.0141,-1.0622,0.4580,0.6042
11.0142,-1.0581,0.4207,0.6374
11.0143,-1.0526,0.3829,0.6697
11.0144,-1.0455,0.3445,0.7010
11.0145,-1.0370,0.3056,0.7314
11.0146,-1.0269,0.2662,0.7607
11.0147,-1.0153,0.2265,0.7888
11.0148,-1.0021,0.1864,0.8157
11.0149,-0.9875,0.1460,0.8415
11.0150,-0.9743,0.1125,0.8618
11.0151,-0.9655,0.0920,0.8735
11.0151,-0.9534,0.0646,0.8888
11.0152,-0.9344,0.0237,0.9107
11.0153,-0.9141,-0.0172,0.9312
11.0154,-0.8925,-0.0580,0.9505
11.0155,-0.8696,-0.0988,0.9684
11.0156,-0.8454,-0.1394,0.9849
11.0157,-0.8200,-0.1799,0.9998
11.0158,-0.7933,-0.2200,1.0133
11.0159,-0.7654,-0.2599,1.0253
11.0160,-0.7415,-0.2925,1.0340
11.0161,-0.7264,-0.3122,1.0385
11.0161,-0.7059,-0.3382,1.0441
11.0162,-0.6748,-0.3767,1.0515
11.0163,-0.6427,-0.4147,1.0574
11.0164,-0.6097,-0.4520,1.0617
11.0165,-0.5757,-0.4888,1.0645
11.0166,-0.5410,-0.5249,1.0658
11.0167,-0.5054,-0.5601,1.0655
11.0168,-0.4691,-0.5944,1.0635
11.0169,-0.4320,-0.6280,1.0600
11.0170,-0.4009,-0.6549,1.0558
11.0171,-0.3817,-0.6709,1.0526
11.0171,-0.3559,-0.6918,1.0477
11.0172,-0.3170,-0.7224,1.0395
11.0173,-0.2778,-0.7520,1.0298
11.0174,-0.2382,-0.7804,1.0186
11.0175,-0.1982,-0.8077,1.0059
11.0176,-0.1579,-0.8340,0.9918
11.0177,-0.1174,-0.8589,0.9762
11.0178,-0.0767,-0.8824,0.9591
11.0179,-0.0358,-0.9048,0.9405
11.0180,-0.0021,-0.9221,0.9242
11.0181,0.0185,-0.9321,0.9135
11.0181,0.0459,-0.9449,0.8989
11.0182,0.0868,-0.9631,0.8763
11.0183,0.1274,-0.9799,0.8524
11.0184,0.1679,-0.9953,0.8274
11.0185,0.2082,-1.0093,0.8011
11.0186,0.2482,-1.0218,0.7736
11.0187,0.2877,-1.0328,0.7450
11.0188,0.3269,-1.0421,0.7152
11.0189,0.3656,-1.0500,0.6844
11.0190,0.3971,-1.0553,0.6582
11.0191,0.4160,-1.0577,0.6417
11.0191,0.4411,-1.0605,0.6194
11.0192,0.4780,-1.0637,0.5857
11.0193,0.5142,-1.0653,0.5512
11.0194,0.5496,-1.0654,0.5158
11.0195,0.5843,-1.0640,0.4797
11.0196,0.6181,-1.0611,0.4429
11.0197,0.6510,-1.0565,0.4055
11.0198,0.6829,-1.0503,0.3674
11.0199,0.7139,-1.0425,0.3287
11.0200,0.7385,-1.0350,0.2964
11.0201,0.7531,-1.0296,0.2765
11.0201,0.7721,-1.0220,0.2499
11.0202,0.7997,-1.0096,0.2100
11.0203,0.8261,-0.9959,0.1697
11.0204,0.8514,-0.9807,0.1293
11.0205,0.8754,-0.9641,0.0886
11.0206,0.8982,-0.9461,0.0478
11.0207,0.9196,-0.9266,0.0070
11.0208,0.9397,-0.9057,-0.0339
11.0209,0.9583,-0.8835,-0.0748
11.0210,0.9726,-0.8642,-0.1084
11.0211,0.9806,-0.8518,-0.1288
11.0211,0.9908,-0.8348,-0.1560
11.0212,1.0051,-0.8088,-0.1963
11.0213,1.0180,-0.7816,-0.2364
11.0214,1.0294,-0.7533,-0.2760
11.0215,1.0393,-0.7239,-0.3153
11.0216,1.0477,-0.6935,-0.3542
11.0217,1.0546,-0.6620,-0.3925
11.0218,1.0598,-0.6295,-0.4303
11.0219,1.0634,-0.5960,-0.4674
11.0220,1.0652,-0.5678,-0.4975
11.0221,1.0655,-0.5501,-0.5155
11.0221,1.0655,-0.5263,-0.5392
11.0222,1.0644,-0.4903,-0.5741
11.0223,1.0618,-0.4537,-0.6081
11.0224,1.0577,-0.4165,-0.6412
11.0225,1.0520,-0.3786,-0.6735
11.0226,1.0449,-0.3401,-0.7048
11.0227,1.0361,-0.3011,-0.7350
11.0228,1.0258,-0.2617,-0.7641
11.0229,1.0139,-0.2219,-0.7920
11.0230,1.0030,-0.1888,-0.8142
11.0231,0.9956,-0.1684,-0.8272
11.0231,0.9852,-0.1412,-0.8440
11.0232,0.9689,-0.1006,-0.8683
11.0233,0.9513,-0.0598,-0.8914
11.0234,0.9322,-0.0190,-0.9132
11.0235,0.9118,0.0219,-0.9337
11.0236,0.8901,0.0628,-0.9529
11.0237,0.8670,0.1035,-0.9706
11.0238,0.8426,0.1441,-0.9868
11.0239,0.8170,0.1846,-1.0015
11.0240,0.7949,0.2177,-1.0126
11.0241,0.7808,0.2377,-1.0186
11.0241,0.7617,0.2644,-1.0261
11.0242,0.7326,0.3038,-1.0364
11.0243,0.7024,0.3427,-1.0451
11.0244,0.6712,0.3812,-1.0524
11.0245,0.6390,0.4191,-1.0581
11.0246,0.6059,0.4565,-1.0624
11.0247,0.5719,0.4931,-1.0650
11.0248,0.5370,0.5290,-1.0660
11.0249,0.5012,0.5641,-1.0654
11.0250,0.4712,0.5925,-1.0637
11.0251,0.4526,0.6093,-1.0619
11.0251,0.4275,0.6315,-1.0590
11.0252,0.3897,0.6640,-1.0537
11.0253,0.3514,0.6955,-1.0469
11.0254,0.3126,0.7260,-1.0385
11.0255,0.2733,0.7554,-1.0287
11.0256,0.2336,0.7838,-1.0175
11.0257,0.1936,0.8110,-1.0046
11.0258,0.1533,0.8370,-0.9902
11.0259,0.1126,0.8617,-0.9743
