Time,p
0.0,9.999999998169112e-5
0.01,9.999999761534442e-5
0.01,9.999999761534442e-5
0.02,9.99999953080026e-5
0.02,9.99999953080026e-5
0.03,9.999999306116447e-5
0.03,9.999999306116447e-5
0.04,9.99999908819875e-5
0.04,9.99999908819875e-5
0.05,9.999998877346233e-5
0.05,9.999998877346233e-5
0.060000000000000005,9.999998673864904e-5
0.060000000000000005,9.999998673864904e-5
0.07,9.999998477827968e-5
0.07,9.999998477827968e-5
0.08,9.999998289486958e-5
0.08,9.999998289486958e-5
0.09,9.999998108921673e-5
0.09,9.999998108921673e-5
0.09999999999999999,9.999997936093255e-5
0.09999999999999999,9.999997936093255e-5
0.10999999999999999,9.9999977711214e-5
0.10999999999999999,9.9999977711214e-5
0.11999999999999998,9.999997614032127e-5
0.11999999999999998,9.999997614032127e-5
0.12999999999999998,9.999997464558291e-5
0.12999999999999998,9.999997464558291e-5
0.13999999999999999,9.999997322795301e-5
0.13999999999999999,9.999997322795301e-5
0.15,9.999997188660237e-5
0.15,9.999997188660237e-5
0.16,9.99999706200426e-5
0.16,9.99999706200426e-5
0.17,9.99999694260359e-5
0.17,9.99999694260359e-5
0.18000000000000002,9.999996830405838e-5
0.18000000000000002,9.999996830405838e-5
0.19000000000000003,9.999996725213595e-5
0.19000000000000003,9.999996725213595e-5
0.20000000000000004,9.999996626889815e-5
0.20000000000000004,9.999996626889815e-5
0.21000000000000005,9.99999653505737e-5
0.21000000000000005,9.99999653505737e-5
0.22000000000000006,9.999996449734996e-5
0.22000000000000006,9.999996449734996e-5
0.23000000000000007,9.999996370693362e-5
0.23000000000000007,9.999996370693362e-5
0.24000000000000007,9.999996297710423e-5
0.24000000000000007,9.999996297710423e-5
0.25000000000000006,9.999996230622768e-5
0.25000000000000006,9.999996230622768e-5
0.26000000000000006,9.999996169114331e-5
0.26000000000000006,9.999996169114331e-5
0.2700000000000001,9.999996113144866e-5
0.2700000000000001,9.999996113144866e-5
0.2800000000000001,9.999996062369856e-5
0.2800000000000001,9.999996062369856e-5
0.2900000000000001,9.999996016654342e-5
0.2900000000000001,9.999996016654342e-5
0.3000000000000001,9.999995975810971e-5
0.3000000000000001,9.999995975810971e-5
0.3100000000000001,9.999995939576761e-5
0.3100000000000001,9.999995939576761e-5
0.3200000000000001,9.99999590779177e-5
0.3200000000000001,9.99999590779177e-5
0.3300000000000001,9.999995880324852e-5
0.3300000000000001,9.999995880324852e-5
0.34000000000000014,9.999995856950147e-5
0.34000000000000014,9.999995856950147e-5
0.35000000000000014,9.999995837384548e-5
0.35000000000000014,9.999995837384548e-5
0.36000000000000015,9.999995821675586e-5
0.36000000000000015,9.999995821675586e-5
0.37000000000000016,9.999995809380907e-5
0.37000000000000016,9.999995809380907e-5
0.38000000000000017,9.999995800464428e-5
0.38000000000000017,9.999995800464428e-5
0.3900000000000002,9.9999957947558e-5
0.3900000000000002,9.9999957947558e-5
0.4000000000000002,9.999995792177654e-5
0.4000000000000002,9.999995792177654e-5
0.4100000000000002,9.999995792357719e-5
0.4100000000000002,9.999995792357719e-5
0.4200000000000002,9.999995795156522e-5
0.4200000000000002,9.999995795156522e-5
0.4300000000000002,9.999995800679534e-5
0.4300000000000002,9.999995800679534e-5
0.4400000000000002,9.999995808546852e-5
0.4400000000000002,9.999995808546852e-5
0.45000000000000023,9.999995818773741e-5
0.45000000000000023,9.999995818773741e-5
0.46000000000000024,9.999995831036501e-5
0.46000000000000024,9.999995831036501e-5
0.47000000000000025,9.999995845320908e-5
0.47000000000000025,9.999995845320908e-5
0.48000000000000026,9.99999586154543e-5
0.48000000000000026,9.99999586154543e-5
0.49000000000000027,9.99999587957337e-5
0.49000000000000027,9.99999587957337e-5
0.5000000000000002,9.999995899202807e-5
0.5000000000000002,9.999995899202807e-5
0.5100000000000002,9.999995920384822e-5
0.5100000000000002,9.999995920384822e-5
0.5200000000000002,9.999995943008044e-5
0.5200000000000002,9.999995943008044e-5
0.5300000000000002,9.999995966957984e-5
0.5300000000000002,9.999995966957984e-5
0.5400000000000003,9.999995992067759e-5
0.5400000000000003,9.999995992067759e-5
0.5500000000000003,9.999996018372412e-5
0.5500000000000003,9.999996018372412e-5
0.5600000000000003,9.999996045758838e-5
0.5600000000000003,9.999996045758838e-5
0.5700000000000003,9.999996074208303e-5
0.5700000000000003,9.999996074208303e-5
0.5800000000000003,9.999996103514028e-5
0.5800000000000003,9.999996103514028e-5
